"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"11","Bra010339","Bra033706",NA,"Bra019122",NA,"Bra004247,Bra004248","Bra012519,Bra038811",NA,"Bra035848",NA,NA,"Bra004604","Bra000777","Bra022288","Bra032137",NA,NA,NA,NA,"Bra031290","Bra001348,Bra001349","Bra035913","Bra000207","Bra027032,Bra027033","Bra025865","Bra010510","Bra008842",NA,NA,NA,"Bra013869","Bra002665","Bra005809","Bra011469","Bra007776,Bra007777","Bra012809",NA,NA,"Bra019433",NA,NA,NA,"Bra019307","Bra033713,Bra033714","Bra004267","Bra004722","Bra006338","Bra019634,Bra019635","Bra011794,Bra011795","Bra026477",NA,NA,"Bra016153",NA,"Bra017625",NA,NA,"Bra008747","Bra002258","Bra021292","Bra023430","Bra035565","Bra014842","Bra012871",NA,NA,"Bra033467","Bra035244",NA,NA,NA,"Bra009107,Bra009108",NA,"Bra002975",NA,NA,NA,"Bra003034",NA,NA
"12","Bra000711","Bra039708",NA,"Bra034432",NA,"Bra009107,Bra009108","Bra010808",NA,"Bra003034",NA,NA,"Bra003527","Bra038091,Bra038092","Bra005798","Bra000024",NA,NA,NA,NA,"Bra011606","Bra019072,Bra019075","Bra027936","Bra034608,Bra034609,Bra034610","Bra013436","Bra011250","Bra021079","Bra023432",NA,NA,NA,"Bra018544","Bra018264","Bra037380","Bra029073","Bra023597,Bra023599","Bra009001",NA,NA,"Bra033837",NA,NA,NA,"Bra025671","Bra028849","Bra012364","Bra030045,snoR74","Bra003427,Bra003428","Bra011568","Bra040120","Bra036618",NA,NA,"Bra006515",NA,"Bra006538",NA,NA,"Bra002561","Bra016123","Bra024701","Bra039612","Bra024794","Bra000310","Bra014291",NA,NA,"Bra038281","Bra002567,Bra002568",NA,NA,NA,"Bra018573",NA,"Bra027972,Bra027973",NA,NA,NA,"Bra035848",NA,NA
"13","Bra006515","Bra022503",NA,"Bra036316",NA,"Bra000460","Bra017920,Bra017921",NA,"Bra028766,Bra028767",NA,NA,"Bra000885",NA,"Bra033224","Bra013881,Bra013882,Bra013883",NA,NA,NA,NA,"Bra039362","Bra028414,Bra028415","Bra038166","Bra025363","Bra028011","Bra000394","Bra007738","Bra007608,Bra007609",NA,NA,NA,"Bra012462","Bra023675","Bra028483","Bra000659","Bra008903,Bra008904","Bra025785",NA,NA,"Bra003063",NA,NA,NA,"Bra017267,Bra017268","Bra002220","Bra020949","Bra011664",NA,"Bra010620,Bra010621","Bra039014","Bra032134",NA,NA,"Bra007343",NA,"Bra023072",NA,NA,"Bra025254","Bra007499,Bra007500","Bra022458","Bra008957","Bra006200","Bra002914","Bra017019",NA,NA,"Bra002086","Bra033218",NA,NA,NA,"Bra000460",NA,"Bra030808",NA,NA,NA,"Bra000600",NA,NA
"14","Bra007343","Bra039094",NA,"Bra004537",NA,"Bra024089","Bra032344",NA,"Bra010454",NA,NA,"Bra018112",NA,"Bra029620",NA,NA,NA,NA,NA,"Bra013120,Bra013121","Bra005804",NA,"Bra030762","Bra015301","Bra000955","Bra006413","Bra034297",NA,NA,NA,"Bra019853","Bra036243","Bra025505,Bra025506","Bra009080","Bra008392,Bra008393","Bra027350",NA,NA,"Bra029067",NA,NA,NA,"Bra022804","Bra004188","Bra026905","Bra002483",NA,"Bra021983","Bra035980","Bra009039",NA,NA,NA,NA,"Bra016502",NA,NA,"Bra011546","Bra011770","Bra025838,Bra025839","Bra009352","Bra037068","Bra014635,Bra014636","Bra001662",NA,NA,"Bra003114,Bra003115","Bra001816",NA,NA,NA,"Bra024089",NA,"Bra009184",NA,NA,NA,"Bra018723",NA,NA
"15",NA,"Bra023072",NA,"Bra035574",NA,"Bra029642","Bra018407",NA,"Bra014853",NA,NA,"Bra015456",NA,"Bra028193",NA,NA,NA,NA,NA,"Bra013161","Bra034897",NA,"Bra016259","Bra015654","Bra009771","Bra030316","Bra007241",NA,NA,NA,"Bra040427","Bra014938","Bra027183,Bra027184","Bra000821","Bra019239","Bra020014",NA,NA,"Bra023045",NA,NA,NA,"Bra030082","Bra026253",NA,"Bra030292",NA,"Bra009617","Bra002290,Bra002291","Bra030786",NA,NA,NA,NA,"Bra033706",NA,NA,"Bra019231","Bra002424,Bra002425","Bra007745,Bra007746,Bra007747,Bra007748","Bra030856","Bra035260,Bra035261","Bra003273","Bra037112,Bra037113,Bra037115",NA,NA,"Bra015564","Bra033968",NA,NA,NA,"Bra005929",NA,"Bra031623",NA,NA,NA,"Bra038165",NA,NA
"16",NA,"Bra024312",NA,"Bra003239",NA,"Bra002354","Bra009184",NA,"Bra018723",NA,NA,"Bra003152",NA,"Bra039748",NA,NA,NA,NA,NA,"Bra022802,Bra022803","Bra023343",NA,"Bra017604","Bra027698","Bra034917","Bra024230,Bra024231","Bra025081",NA,NA,NA,"Bra039091","Bra013450","Bra037181,Bra037182","Bra006857","Bra036931","Bra000623",NA,NA,"Bra027866",NA,NA,NA,"Bra025376","Bra016284",NA,"Bra009706,Bra009707",NA,"Bra014414","Bra039066","Bra011477",NA,NA,NA,NA,"Bra039708",NA,NA,"Bra017976","Bra034715,Bra034716","Bra037306","Bra018819","Bra039013","Bra012805","Bra014903",NA,NA,"Bra019760","Bra001676,Bra001678",NA,NA,NA,"Bra024848",NA,"Bra018407",NA,NA,NA,"Bra028766,Bra028767",NA,NA
"17",NA,"Bra004937,Bra004938",NA,"Bra007768,Bra007769",NA,"Bra023706,Bra023707","Bra003086",NA,"Bra009600",NA,NA,"Bra009087",NA,"Bra017723",NA,NA,NA,NA,NA,"Bra006224","Bra008540",NA,"Bra027207","Bra019026","Bra012008","Bra037196","Bra025675",NA,NA,NA,"Bra012339","Bra023474","Bra025178,Bra025179,Bra025180,Bra025181",NA,"Bra010567","Bra010727",NA,NA,"Bra003617",NA,NA,NA,"Bra032484","Bra013904",NA,"Bra005759",NA,"Bra021937","Bra033473","Bra004087,snoR74",NA,NA,NA,NA,"Bra009396,Bra009397,Bra009398",NA,NA,"Bra031272","Bra014503","Bra018100","Bra039441","Bra005211,Bra005212","Bra034846,Bra034847,Bra034848,tRNA-Val","Bra034432",NA,NA,NA,"Bra010453",NA,NA,NA,"Bra009006,Bra009007",NA,"Bra003086",NA,NA,NA,"Bra000587",NA,NA
"18",NA,"Bra006538",NA,"Bra014037",NA,"Bra032191","Bra031623",NA,"Bra035864",NA,NA,NA,NA,"Bra028789",NA,NA,NA,NA,NA,"Bra009101","Bra010956,Bra010957",NA,"Bra001958,Bra001959","Bra034736,Bra034737","Bra023129,Bra023130","Bra032617","Bra016572,Bra016573",NA,NA,NA,"Bra015315","Bra006291","Bra008476,Bra008477",NA,"Bra037623","Bra018009,Bra018010",NA,NA,"Bra016674",NA,NA,NA,"Bra005335","Bra024474",NA,"Bra028546",NA,"Bra034368,Bra034369","Bra005923","Bra026380",NA,NA,NA,NA,"Bra014436",NA,NA,"Bra003253","Bra011106","Bra032540","Bra005570","Bra028367","Bra022610","Bra036593",NA,NA,NA,"Bra004540",NA,NA,NA,"Bra029642",NA,NA,NA,NA,NA,"Bra007020",NA,NA
"19",NA,"Bra017625",NA,"Bra012871",NA,"Bra033802",NA,NA,"Bra000600",NA,NA,NA,NA,"Bra034815",NA,NA,NA,NA,NA,"Bra004109","Bra018492,Bra018493,Bra018496",NA,"Bra027080","Bra033644","Bra011590","Bra005718,Bra005767","Bra015695,Bra015696,Bra015697,Bra015698,tRNA-Gln",NA,NA,NA,"Bra035101","Bra025459","Bra030607,Bra030608",NA,"Bra040512,Bra040514","Bra027225",NA,NA,"Bra038835",NA,NA,NA,"Bra012753",NA,NA,"Bra036117",NA,"Bra005514","Bra009940","Bra040415",NA,NA,NA,NA,NA,NA,NA,"Bra002101","Bra039975","Bra021852,Bra021853","Bra026290","Bra013342","Bra014622","Bra002023",NA,NA,NA,"Bra033820",NA,NA,NA,"Bra002354",NA,NA,NA,NA,NA,"Bra010454",NA,NA
"20",NA,NA,NA,"Bra005982",NA,"Bra038011",NA,NA,"Bra008785",NA,NA,NA,NA,"Bra039678",NA,NA,NA,NA,NA,"Bra003209","Bra038825",NA,"Bra035633","Bra029292,Bra029293","Bra040958","Bra006795,Bra006796,Bra006797,U2","Bra002886",NA,NA,NA,"Bra027421,Bra027422","Bra011824","Bra039120",NA,"Bra016986","Bra024516",NA,NA,NA,NA,NA,NA,"Bra014238",NA,NA,"Bra020280",NA,"Bra036234","Bra017279","Bra004806",NA,NA,NA,NA,NA,NA,NA,"Bra023634","Bra001406","Bra018736","Bra003705","Bra035847","Bra005982","Bra011500",NA,NA,NA,"Bra011299",NA,NA,NA,"Bra023706,Bra023707",NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,"Bra034556",NA,"Bra011703",NA,NA,NA,NA,NA,NA,NA,"Bra018872",NA,NA,NA,NA,NA,"Bra036827","Bra039735",NA,"Bra033373","Bra025856","Bra012676","Bra038098,Bra038099","Bra024776,Bra024777",NA,NA,NA,"Bra008070","Bra021016,Bra021017","Bra012076,Bra012077,Bra012079",NA,"Bra035188,Bra035189,Bra035190","Bra039175",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra008643",NA,"Bra032332","Bra005745","Bra025894,Bra025895",NA,NA,NA,NA,NA,NA,NA,"Bra025173","Bra017749","Bra035413","Bra003336","Bra012616","Bra013719","Bra019122",NA,NA,NA,"Bra014692",NA,NA,NA,"Bra032191",NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,"Bra004771",NA,"Bra005929",NA,NA,NA,NA,NA,NA,NA,"Bra006351,Bra006352",NA,NA,NA,NA,NA,"Bra008792","Bra009826",NA,"Bra005727","Bra015225","Bra024117","Bra001358,Bra001359,tRNA-Tyr","Bra022241,Bra022242",NA,NA,NA,"Bra037680,Bra037682","Bra012176","Bra004214,Bra004215",NA,"Bra011706","Bra027468",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra001127",NA,"Bra011108","Bra006553","Bra012446,Bra012447",NA,NA,NA,NA,NA,NA,NA,"Bra035803,Bra035804","Bra023511","Bra011825","Bra015638","Bra013915",NA,"Bra000391",NA,NA,NA,NA,NA,NA,NA,"Bra033802",NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,"Bra017019",NA,"Bra009006,Bra009007",NA,NA,NA,NA,NA,NA,NA,"Bra005980",NA,NA,NA,NA,NA,"Bra023441","Bra013674",NA,"Bra019827","Bra012371","Bra022697","Bra029427","Bra028446",NA,NA,NA,"Bra035490","Bra019264","Bra020400,Bra020401",NA,"Bra022769","Bra031158",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra001156",NA,"Bra000853","Bra003512","Bra010330",NA,NA,NA,NA,NA,NA,NA,"Bra005404","Bra016703","Bra005026",NA,NA,NA,"Bra036316",NA,NA,NA,NA,NA,NA,NA,"Bra038011",NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,"Bra001662",NA,"Bra024848",NA,NA,NA,NA,NA,NA,NA,"Bra027294",NA,NA,NA,NA,NA,NA,"Bra003864",NA,"Bra011786","Bra014209","Bra013657,Bra013658,Bra013659,Bra013660,Bra013664,Bra013678,Bra013681","Bra025223","Bra002221",NA,NA,NA,"Bra008975","Bra033657","Bra020748",NA,"Bra009649","Bra031191,Bra031192",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra007151,Bra007152",NA,"Bra022298","Bra006567","Bra040117",NA,NA,NA,NA,NA,NA,NA,"Bra001715","Bra000440","Bra036169",NA,NA,NA,"Bra004537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,"Bra019686,Bra019688,Bra019689,Bra019690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra017752",NA,"Bra016074","Bra005889","Bra000412","Bra006297","Bra024300",NA,NA,NA,"Bra004639",NA,"Bra011839",NA,"Bra039740","Bra020234",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra009577",NA,"Bra005607","Bra008958,tRNA-Phe","Bra004225",NA,NA,NA,NA,NA,NA,NA,"Bra022830","Bra006454","Bra022868",NA,NA,NA,"Bra035574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,"Bra018543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra001207",NA,"Bra020123","Bra017781","Bra004997","Bra015781","Bra022310",NA,NA,NA,"Bra014340",NA,"Bra038729",NA,"Bra015170","Bra009109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra010455",NA,"Bra000989","Bra003471","Bra030791",NA,NA,NA,NA,NA,NA,NA,"Bra001116","Bra006340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,"Bra013540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra035450,Bra035451",NA,"Bra013909,Bra013911","Bra029325,Bra029326","Bra004960","Bra002684","Bra022813",NA,NA,NA,"Bra006182",NA,"Bra001200,Bra001201",NA,"Bra015317","Bra002322",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra019068,Bra019069,Bra019070",NA,"Bra016541,Bra016542","Bra036709,Bra036710","Bra029167",NA,NA,NA,NA,NA,NA,NA,"Bra000338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,"Bra014842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra025450",NA,"Bra024864","Bra017693","Bra020750","Bra016548,Bra016549","Bra003750",NA,NA,NA,"Bra000952,Bra000953",NA,"Bra026019",NA,"Bra012417","Bra030908",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra005784",NA,"Bra009571,Bra009572","Bra006936","Bra039149",NA,NA,NA,NA,NA,NA,NA,"Bra032124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,"Bra000310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra025936",NA,NA,"Bra029871","Bra033597","Bra000942","Bra001950",NA,NA,NA,"Bra032122",NA,"Bra040413",NA,"Bra036074","Bra032018,Bra032019",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra035939",NA,"Bra005097","Bra040197","Bra019574",NA,NA,NA,NA,NA,NA,NA,"Bra012074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,"Bra017633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra019285,tRNA-Leu",NA,NA,"Bra007587","Bra028537","Bra005505","Bra015305",NA,NA,NA,"Bra026243",NA,"Bra020086,Bra020087",NA,"Bra024075","Bra005177",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra023104",NA,"Bra015538","Bra005180",NA,NA,NA,NA,NA,NA,NA,NA,"Bra020935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,"Bra002914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra000079,Bra000080",NA,NA,"Bra013826","Bra033746","Bra040933","Bra037309",NA,NA,NA,"Bra006052",NA,"Bra031011",NA,"Bra036615","Bra038957",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bra024896",NA,"Bra035251","Bra000159",NA,NA,NA,NA,NA,NA,NA,NA,"Bra012807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
