"","c1","c3","c4","c5","c6","c7","c8","c9","c10","c11"
"31","Bra029307,Bra029308","Bra009762,Bra009763","Bra012153","Bra002861","Bra002973,Bra002974","Bra001676,Bra001678","Bra002619","Bra019122","Bra002483","Bra019239"
"32","Bra030388","Bra009826","Bra012339","Bra003001,Bra003002","Bra003024","Bra001783","Bra003015","Bra019212,Bra019213","Bra002561","Bra019264"
"33","Bra030799","Bra011786","Bra012462","Bra003007,Bra003009","Bra003059","Bra001816","Bra003034","Bra019560","Bra002917,Bra002918","Bra021650"
"34","Bra031522","Bra011822","Bra013869","Bra003055","Bra003062","Bra001942","Bra003086","Bra019686,Bra019688,Bra019689,Bra019690","Bra003241,Bra003242","Bra022505"
"35","Bra031640","Bra011921","Bra014131","Bra003155","Bra003063","Bra002099,Bra002100","Bra003163","Bra019784","Bra003336","Bra023474"
"36","Bra032003,Bra032004","Bra012099,Bra012100","Bra014340","Bra003184,Bra003186","Bra003159","Bra002137","Bra003239","Bra019928","Bra003427,Bra003428","Bra023675"
"37","Bra032011","Bra012154","Bra014766","Bra003190","Bra003253","Bra002220","Bra003276,Bra003277","Bra020836","Bra003471","Bra024845,Bra024846"
"38","Bra032681","Bra012696","Bra014870","Bra003541,Bra003542,Bra003543,Bra003544","Bra003504","Bra002221","Bra003396","Bra020949","Bra003512","Bra025819"
"39","Bra032987,Bra032988","Bra013120,Bra013121","Bra015315","Bra003653","Bra003604","Bra002296","Bra003434","Bra021067","Bra003705","Bra025832,Bra025833"
"40","Bra034254","Bra013161","Bra015397","Bra003949","Bra003617","Bra002318","Bra003624","Bra021314","Bra004225","Bra027302,Bra027306,Bra027307"
"41","Bra034309","Bra013445","Bra015878","Bra004087,snoR74","Bra003758","Bra002388","Bra003750","Bra021579","Bra004400","Bra027833"
"42","Bra035009","Bra013476","Bra016016,Bra016017","Bra004138","Bra003776","Bra002412","Bra003840,Bra003841","Bra021634,tRNA-Gly","Bra004654","Bra027972,Bra027973"
"43","Bra035211","Bra013507","Bra017499","Bra004518","Bra004101","Bra002468","Bra004113","Bra022168","Bra004675","Bra029614,Bra029615"
"44","Bra035608","Bra013540","Bra018293,Bra018294","Bra004528","Bra004177,Bra004178","Bra002567,Bra002568","Bra004118","Bra022736","Bra004806","Bra029649"
"45","Bra037149","Bra013674","Bra018876","Bra004649","Bra004214,Bra004215","Bra002596","Bra004247,Bra004248","Bra022769","Bra004850","Bra030256"
"46","Bra038523","Bra013774","Bra019853","Bra004722","Bra004222","Bra002617","Bra004355","Bra022923","Bra004937,Bra004938","Bra030843"
"47","Bra039163","Bra013906","Bra020036","Bra004744","Bra004324","Bra002677","Bra004388,Bra004389,Bra004390,Bra004391","Bra024531","Bra005026","Bra033657"
"48","Bra039947","Bra014037","Bra020082","Bra004782","Bra004683","Bra002684","Bra004435","Bra025547","Bra005097","Bra033840"
"49","Bra040419","Bra014622","Bra020667,Bra020668","Bra004792","Bra004783","Bra002710","Bra004497","Bra026187","Bra005180","Bra033958"
"50","Bra040826","Bra014635,Bra014636","Bra021041","Bra004871","Bra004853","Bra002715,Bra002716","Bra004504","Bra026905","Bra005211,Bra005212","Bra033973"
"51",NA,"Bra014842","Bra021079","Bra004943","Bra004895,Bra004897,Bra004898","Bra002886","Bra004545","Bra027093,Bra027094","Bra005337","Bra034063"
"52",NA,"Bra014903","Bra021448,Bra021450","Bra004995","Bra005003","Bra002944","Bra004562","Bra027468","Bra005341,Bra005342","Bra035067"
"53",NA,"Bra015047","Bra022734","Bra005002","Bra005235","Bra003114,Bra003115","Bra004940","Bra027736","Bra005347","Bra036730"
"54",NA,"Bra016074","Bra022804","Bra005012","Bra005258","Bra003618","Bra004960","Bra028875","Bra005404","Bra037210"
"55",NA,"Bra016226","Bra023164","Bra005099","Bra005531","Bra003670","Bra004997","Bra030622","Bra005570","Bra037411"
"56",NA,"Bra016259","Bra023392","Bra005175","Bra005663","Bra003716","Bra005019","Bra030808","Bra005601","Bra040924"
"57",NA,"Bra017604","Bra023418","Bra005177","Bra005696","Bra003757,U4","Bra005193","Bra031041,Bra031042,Bra031044","Bra005607",NA
"58",NA,"Bra017633","Bra024000,Bra024002,Bra024003","Bra005261","Bra005809","Bra003765","Bra005216","Bra031158","Bra005635",NA
"59",NA,"Bra017826","Bra024366,Bra024367","Bra005296","Bra006029","Bra004024","Bra005227,Bra005229","Bra031191,Bra031192","Bra005668",NA
"60",NA,"Bra018028","Bra025304","Bra005371","Bra006227","Bra004077,Bra004078","Bra005310","Bra031648,Bra031649","Bra005745",NA
"61",NA,"Bra018543","Bra026243","Bra005441","Bra006248","Bra004094","Bra005661,Bra005662","Bra032166","Bra005759",NA
"62",NA,"Bra018759","Bra026866,Bra026867","Bra005476","Bra006262","Bra004188","Bra005686","Bra034556","Bra005817",NA
"63",NA,"Bra019827","Bra027163","Bra005514","Bra006272,Bra006329","Bra004436","Bra005715","Bra035188,Bra035189,Bra035190","Bra005820",NA
"64",NA,"Bra020123","Bra027274","Bra005603","Bra006290","Bra004540","Bra005804","Bra036325,Bra036326,Bra036327","Bra005923",NA
"65",NA,"Bra021170","Bra027421,Bra027422","Bra005641","Bra006597","Bra004546","Bra005822","Bra037475","Bra006200",NA
"66",NA,"Bra022234","Bra027938","Bra005677","Bra006622","Bra004581","Bra005982","Bra038281","Bra006338",NA
"67",NA,"Bra022717","Bra029853","Bra005682,Bra005683","Bra006639","Bra004763","Bra006016","Bra038610,Bra038611,tRNA-Thr","Bra006340",NA
"68",NA,"Bra023110","Bra030540","Bra005749","Bra006685","Bra004795,Bra004796","Bra006051","Bra039175","Bra006380",NA
"69",NA,"Bra023343","Bra031084,Bra031085","Bra005784","Bra006879","Bra004875","Bra006101","Bra040801","Bra006454",NA
"70",NA,"Bra024864","Bra032122","Bra005798","Bra007047","Bra005306","Bra006360",NA,"Bra006482",NA
"71",NA,"Bra025936","Bra032284","Bra005881","Bra007250","Bra005329","Bra006603",NA,"Bra006515",NA
"72",NA,"Bra026004","Bra032807,Bra032808","Bra005980","Bra007383","Bra005335","Bra007105",NA,"Bra006538",NA
"73",NA,"Bra026043","Bra033438","Bra006053","Bra007499,Bra007500","Bra005397","Bra007337",NA,"Bra006553",NA
"74",NA,"Bra026474","Bra035101","Bra006198,Bra006199","Bra007657","Bra005505","Bra007695",NA,"Bra006567",NA
"75",NA,"Bra026770","Bra035490","Bra006215","Bra007912","Bra005673","Bra007698,Bra007699,tRNA-Gly",NA,"Bra006626",NA
"76",NA,"Bra027080","Bra036120","Bra006233","Bra008003","Bra005709","Bra007783",NA,"Bra006748",NA
"77",NA,"Bra027207","Bra036495","Bra006234","Bra008392,Bra008393","Bra005718,Bra005767","Bra007856,tRNA-Arg",NA,"Bra006857",NA
"78",NA,"Bra027936","Bra037215","Bra006289","Bra008462,Bra008463,Bra008464","Bra005770","Bra007919",NA,"Bra006936",NA
"79",NA,"Bra028992","Bra037309","Bra006351,Bra006352","Bra008476,Bra008477","Bra005889","Bra008426",NA,"Bra007070",NA
"80",NA,"Bra029045,Bra029046","Bra037364","Bra006456","Bra008602","Bra005929","Bra008507",NA,"Bra007151,Bra007152",NA
"81",NA,"Bra029107","Bra037680,Bra037682","Bra006530","Bra008747","Bra006031","Bra008540",NA,"Bra007181",NA
"82",NA,"Bra030762","Bra039091","Bra006629","Bra008772,Bra008773","Bra006061","Bra008592",NA,"Bra007220,Bra007221",NA
"83",NA,"Bra031290","Bra039835","Bra006768","Bra008961","Bra006211","Bra008653,Bra008655",NA,"Bra007283",NA
"84",NA,"Bra033373","Bra040448","Bra006778","Bra009181","Bra006297","Bra008746",NA,"Bra007343",NA
"85",NA,"Bra033483","Bra040630","Bra006787","Bra009299","Bra006332,Bra006333","Bra008792",NA,"Bra007462",NA
"86",NA,"Bra033612,Bra033613","Bra040932","Bra006877,Bra006878","Bra009355,Bra009356","Bra006337","Bra009055",NA,"Bra007669",NA
"87",NA,"Bra033774,Bra033775",NA,"Bra007174","Bra009433","Bra006517","Bra009090",NA,"Bra007745,Bra007746,Bra007747,Bra007748",NA
"88",NA,"Bra034432",NA,"Bra007345","Bra009459,Bra009460,Bra009461","Bra006579","Bra009427",NA,"Bra007930",NA
"89",NA,"Bra034608,Bra034609,Bra034610",NA,"Bra007399,Bra007401,Bra007402","Bra009644","Bra006623","Bra009600",NA,"Bra008144,Bra008145",NA
"90",NA,"Bra034846,Bra034847,Bra034848,tRNA-Val",NA,"Bra007713,Bra007714","Bra009724","Bra006694","Bra009601",NA,"Bra008643",NA
"91",NA,"Bra035450,Bra035451",NA,"Bra007945,Bra007947,Bra007949,Bra007950,Bra007951","Bra009750","Bra006710,Bra006711,Bra006712,Bra006713,Bra006714","Bra009603,Bra009604",NA,"Bra008683",NA
"92",NA,"Bra035574",NA,"Bra008030","Bra009758","Bra006750","Bra009605",NA,"Bra008735",NA
"93",NA,"Bra035633",NA,"Bra008128,Bra008130","Bra009941","Bra006770","Bra009768",NA,"Bra008824,Bra008825,Bra008826",NA
"94",NA,"Bra035913",NA,"Bra008506","Bra009948,Bra009949","Bra006794","Bra009854",NA,"Bra008957",NA
"95",NA,"Bra036146",NA,"Bra008658","Bra009965,Bra009966,Bra009967","Bra007116","Bra009968",NA,"Bra008958,tRNA-Phe",NA
"96",NA,"Bra036316",NA,"Bra008785","Bra010018","Bra007195","Bra010013",NA,"Bra009039",NA
"97",NA,"Bra036593",NA,"Bra008876","Bra010085","Bra007241","Bra010171",NA,"Bra009080",NA
"98",NA,"Bra036882",NA,"Bra008984","Bra010116","Bra007299","Bra010454",NA,"Bra009292",NA
"99",NA,"Bra037112,Bra037113,Bra037115",NA,"Bra009001","Bra010124","Bra007548","Bra010717,Bra010718",NA,"Bra009352",NA
"100",NA,"Bra038835",NA,"Bra009004","Bra010339","Bra007587","Bra010796",NA,"Bra009431",NA
"101",NA,"Bra038899",NA,"Bra009109","Bra010483","Bra007608,Bra007609","Bra010808",NA,"Bra009571,Bra009572",NA
"102",NA,"Bra039238",NA,"Bra009334","Bra010567","Bra007682","Bra010956,Bra010957",NA,"Bra009577",NA
"103",NA,"Bra039362",NA,"Bra009368","Bra010681","Bra007738","Bra011097",NA,"Bra009670",NA
"104",NA,"Bra039735",NA,"Bra009396,Bra009397,Bra009398","Bra010749","Bra007774,Bra007775","Bra011250",NA,"Bra009706,Bra009707",NA
"105",NA,"Bra040899",NA,"Bra009440,Bra009441","Bra010816,Bra010817","Bra007950","Bra011268",NA,"Bra009789,Bra009790",NA
"106",NA,NA,NA,"Bra009584","Bra010853","Bra007993,Bra007994","Bra011292",NA,"Bra009940",NA
"107",NA,NA,NA,"Bra009617","Bra011076","Bra008047","Bra011556,Bra011557,Bra011558",NA,"Bra009998",NA
"108",NA,NA,NA,"Bra009692,Bra009693","Bra011081","Bra008216,Bra008217","Bra011606",NA,"Bra010126",NA
"109",NA,NA,NA,"Bra009712,Bra009713","Bra011148,Bra011150","Bra008406","Bra011830",NA,"Bra010330",NA
"110",NA,NA,NA,"Bra010228","Bra011232","Bra008425","Bra012045",NA,"Bra010413",NA
"111",NA,NA,NA,"Bra010620,Bra010621","Bra011314","Bra008517","Bra012052",NA,"Bra010455",NA
"112",NA,NA,NA,"Bra010667","Bra011460","Bra008558","Bra012475",NA,"Bra010616",NA
"113",NA,NA,NA,"Bra010727","Bra011537","Bra008627","Bra012519,Bra038811",NA,"Bra010943",NA
"114",NA,NA,NA,"Bra011275","Bra011541","Bra008663","Bra012651",NA,"Bra011106",NA
"115",NA,NA,NA,"Bra011315","Bra011565","Bra008801","Bra012781",NA,"Bra011108",NA
"116",NA,NA,NA,"Bra011412","Bra011679","Bra008842","Bra012784",NA,"Bra011116",NA
"117",NA,NA,NA,"Bra011515","Bra011706","Bra009006,Bra009007","Bra012805",NA,"Bra011449",NA
"118",NA,NA,NA,"Bra011530","Bra011733","Bra009046","Bra013049",NA,"Bra011469",NA
"119",NA,NA,NA,"Bra011551","Bra011839","Bra009107,Bra009108","Bra013069",NA,"Bra011477",NA
"120",NA,NA,NA,"Bra011568","Bra011847,Bra011848,tRNA-Trp","Bra009243,Bra009244","Bra013087",NA,"Bra011546",NA
"121",NA,NA,NA,"Bra011644","Bra011919","Bra009295","Bra013171",NA,"Bra011664",NA
"122",NA,NA,NA,"Bra011677","Bra011985","Bra009351","Bra013172,Bra013173",NA,"Bra011770",NA
"123",NA,NA,NA,"Bra011728","Bra012005","Bra009364","Bra013352,tRNA-Gly",NA,"Bra011794,Bra011795",NA
"124",NA,NA,NA,"Bra011819","Bra012076,Bra012077,Bra012079","Bra009449","Bra013378",NA,"Bra011825",NA
"125",NA,NA,NA,"Bra011824","Bra012152","Bra009771","Bra013602",NA,"Bra012074",NA
"126",NA,NA,NA,"Bra011871","Bra012158","Bra009821","Bra013643",NA,"Bra012176",NA
"127",NA,NA,NA,"Bra011872","Bra012294,Bra012295","Bra010028,Bra010029","Bra013653",NA,"Bra012222,Bra012225",NA
"128",NA,NA,NA,"Bra012012","Bra012644","Bra010106","Bra013719",NA,"Bra012616",NA
"129",NA,NA,NA,"Bra012203","Bra012676","Bra010189","Bra013805",NA,"Bra012667,Bra012694",NA
"130",NA,NA,NA,"Bra012244","Bra012721,Bra012722","Bra010453","Bra013907",NA,"Bra012807",NA
"131",NA,NA,NA,"Bra012327","Bra012724","Bra010464,tRNA-Lys","Bra013949",NA,"Bra012809",NA
"132",NA,NA,NA,"Bra012446,Bra012447","Bra012735","Bra010476","Bra013957",NA,"Bra013223,Bra013224",NA
"133",NA,NA,NA,"Bra012580,tRNA-Glu","Bra012840","Bra010510","Bra014044",NA,"Bra013225",NA
"134",NA,NA,NA,"Bra012595,Bra012596","Bra013012","Bra010580","Bra014233",NA,"Bra013284",NA
"135",NA,NA,NA,"Bra012812","Bra013053","Bra010954","Bra014417",NA,"Bra013342",NA
"136",NA,NA,NA,"Bra012836,SNORD46","Bra013156","Bra011016","Bra014504",NA,"Bra013576",NA
"137",NA,NA,NA,"Bra012916","Bra013218","Bra011134","Bra014853",NA,"Bra013675",NA
"138",NA,NA,NA,"Bra013007,Bra013009,Bra013011","Bra013300,Bra013301","Bra011190","Bra014865",NA,"Bra013786,Bra013788",NA
"139",NA,NA,NA,"Bra013132","Bra013341,tRNA-Glu","Bra011299","Bra014908",NA,"Bra013804",NA
"140",NA,NA,NA,"Bra013155","Bra013517","Bra011328","Bra015025",NA,"Bra013915",NA
"141",NA,NA,NA,"Bra013215","Bra013558","Bra011404","Bra015298",NA,"Bra014046",NA
"142",NA,NA,NA,"Bra013239","Bra013582","Bra011488","Bra015306,Bra015307",NA,"Bra014081",NA
"143",NA,NA,NA,"Bra013462","Bra013747","Bra011536","Bra015499",NA,"Bra014184",NA
"144",NA,NA,NA,"Bra013601","Bra013761","Bra011584","Bra015520",NA,"Bra014387",NA
"145",NA,NA,NA,"Bra013777","Bra013832","Bra011590","Bra015594",NA,"Bra014389",NA
"146",NA,NA,NA,"Bra013881,Bra013882,Bra013883","Bra013950","Bra011596","Bra015613",NA,"Bra014414",NA
"147",NA,NA,NA,"Bra014042","Bra014229","Bra011609","Bra015695,Bra015696,Bra015697,Bra015698,tRNA-Gln",NA,"Bra014503",NA
"148",NA,NA,NA,"Bra014298","Bra014326","Bra011703","Bra015784",NA,"Bra014938",NA
"149",NA,NA,NA,"Bra014436","Bra014351","Bra011736","Bra015843",NA,"Bra015023",NA
"150",NA,NA,NA,"Bra014558","Bra014361","Bra011967","Bra015845",NA,"Bra015088",NA
"151",NA,NA,NA,"Bra014633","Bra014493","Bra012008","Bra015911,Bra015912",NA,"Bra015538",NA
"152",NA,NA,NA,"Bra014648","Bra014497","Bra012038","Bra016034,tRNA-Ser",NA,"Bra015638",NA
"153",NA,NA,NA,"Bra014819","Bra014529","Bra012144","Bra016163",NA,"Bra016127",NA
"154",NA,NA,NA,"Bra014911","Bra014550","Bra012303","Bra016198,Bra016199",NA,"Bra016153",NA
"155",NA,NA,NA,"Bra015131","Bra014562","Bra012371","Bra016694",NA,"Bra016481,Bra016482",NA
"156",NA,NA,NA,"Bra015153","Bra014663","Bra012747","Bra016903",NA,"Bra016502",NA
"157",NA,NA,NA,"Bra015316","Bra014755","Bra012753","Bra016930",NA,"Bra016541,Bra016542",NA
"158",NA,NA,NA,"Bra015319","Bra014808","Bra012779","Bra016955",NA,"Bra016703",NA
"159",NA,NA,NA,"Bra015798,Bra015799","Bra015061","Bra012871","Bra016964",NA,"Bra016811",NA
"160",NA,NA,NA,"Bra015938","Bra015170","Bra012899","Bra016993",NA,"Bra016835,Bra016836",NA
"161",NA,NA,NA,"Bra016007,Bra016008,Bra016009,Bra016010","Bra015317","Bra013013","Bra017008",NA,"Bra017279",NA
"162",NA,NA,NA,"Bra016062","Bra015574","Bra013017,Bra013018","Bra017081",NA,"Bra017546",NA
"163",NA,NA,NA,"Bra016419","Bra015668","Bra013102,Bra013103","Bra017134",NA,"Bra017625",NA
"164",NA,NA,NA,"Bra016459","Bra015752","Bra013152","Bra017199",NA,"Bra017644",NA
"165",NA,NA,NA,"Bra016672,Bra016674","Bra015885,Bra015886","Bra013164","Bra017436",NA,"Bra017749",NA
"166",NA,NA,NA,"Bra016752","Bra016123","Bra013192,Bra013193","Bra017602",NA,"Bra017976",NA
"167",NA,NA,NA,"Bra017143,Bra017144","Bra016674","Bra013303","Bra017672",NA,"Bra018030",NA
"168",NA,NA,NA,"Bra017203","Bra016679,Bra016680,Bra016681,Bra016682","Bra013371","Bra017684",NA,"Bra018100",NA
"169",NA,NA,NA,"Bra017674,Bra017675","Bra016736","Bra013430","Bra017752",NA,"Bra018184",NA
"170",NA,NA,NA,"Bra017723","Bra016758","Bra013436","Bra017823",NA,"Bra018381",NA
"171",NA,NA,NA,"Bra017872","Bra016809,Bra016810","Bra013536","Bra017853",NA,"Bra018435",NA
"172",NA,NA,NA,"Bra017986","Bra016986","Bra013657,Bra013658,Bra013659,Bra013660,Bra013664,Bra013678,Bra013681","Bra017920,Bra017921",NA,"Bra018454",NA
"173",NA,NA,NA,"Bra017987","Bra017317,Bra017318","Bra013690","Bra018141",NA,"Bra018549",NA
"174",NA,NA,NA,"Bra018006","Bra017342","Bra013693","Bra018210",NA,"Bra018595",NA
"175",NA,NA,NA,"Bra018009,Bra018010","Bra017427,Bra017428","Bra013743,tRNA-Ala","Bra018232",NA,"Bra018616",NA
"176",NA,NA,NA,"Bra018137","Bra017454","Bra013826","Bra018407",NA,"Bra018681",NA
"177",NA,NA,NA,"Bra018218,Bra018219","Bra017693","Bra013859","Bra018492,Bra018493,Bra018496",NA,"Bra018689",NA
"178",NA,NA,NA,"Bra018264","Bra017769,Bra017770,Bra017771","Bra013863","Bra018596",NA,"Bra018736",NA
"179",NA,NA,NA,"Bra018324","Bra017907","Bra013904","Bra018695",NA,"Bra018819",NA
"180",NA,NA,NA,"Bra018338","Bra017964","Bra013912","Bra018723",NA,"Bra019068,Bra019069,Bra019070",NA
"181",NA,NA,NA,"Bra018487","Bra018090,Bra018091","Bra013924","Bra018824,Bra018826",NA,"Bra019071",NA
"182",NA,NA,NA,"Bra018677","Bra018252","Bra013931","Bra018872",NA,"Bra019231",NA
"183",NA,NA,NA,"Bra018762","Bra018329","Bra013977","Bra018955",NA,"Bra019384",NA
"184",NA,NA,NA,"Bra018815","Bra018531","Bra014195","Bra019072,Bra019075",NA,"Bra019991",NA
"185",NA,NA,NA,"Bra019003","Bra018544","Bra014209","Bra019082",NA,"Bra020005",NA
"186",NA,NA,NA,"Bra019101","Bra018610","Bra014238","Bra019154",NA,"Bra020215",NA
"187",NA,NA,NA,"Bra019115","Bra018836","Bra014252","Bra019285,tRNA-Leu",NA,"Bra020605,Bra020606",NA
"188",NA,NA,NA,"Bra019143,Bra019144","Bra018897","Bra014403","Bra019558",NA,"Bra020681",NA
"189",NA,NA,NA,"Bra019205,Bra019206","Bra019147","Bra014405","Bra019626",NA,"Bra020935",NA
"190",NA,NA,NA,"Bra019214","Bra019196","Bra014569","Bra019701",NA,"Bra020980",NA
"191",NA,NA,NA,"Bra019430","Bra019210","Bra014671","Bra019940",NA,"Bra021016,Bra021017",NA
"192",NA,NA,NA,"Bra019453","Bra019433","Bra014674,Bra014675","Bra020067",NA,"Bra021292",NA
"193",NA,NA,NA,"Bra019492,Bra019493","Bra019533","Bra014692","Bra020125",NA,"Bra021826",NA
"194",NA,NA,NA,"Bra019574","Bra019539","Bra014696","Bra020169",NA,"Bra021852,Bra021853",NA
"195",NA,NA,NA,"Bra019634,Bra019635","Bra019667","Bra014722","Bra020296",NA,"Bra021937",NA
"196",NA,NA,NA,"Bra019662","Bra019675","Bra014950,Bra014951,Bra014958","Bra020343",NA,"Bra022114",NA
"197",NA,NA,NA,"Bra019733","Bra019792","Bra015052","Bra020599",NA,"Bra022298",NA
"198",NA,NA,NA,"Bra019994","Bra019888","Bra015065","Bra020639",NA,"Bra022458",NA
"199",NA,NA,NA,"Bra020014","Bra020040","Bra015225","Bra020750",NA,"Bra022503",NA
"200",NA,NA,NA,"Bra020062","Bra020051","Bra015237","Bra020913",NA,"Bra022598",NA
"201",NA,NA,NA,"Bra020136","Bra020086,Bra020087","Bra015274","Bra021132",NA,"Bra022830",NA
"202",NA,NA,NA,"Bra020234","Bra020124","Bra015301","Bra021457,Bra021458",NA,"Bra022868",NA
"203",NA,NA,NA,"Bra020280","Bra020229","Bra015305","Bra021796,Bra021797,Bra021798",NA,"Bra023052",NA
"204",NA,NA,NA,"Bra020369","Bra020400,Bra020401","Bra015544","Bra021874",NA,"Bra023072",NA
"205",NA,NA,NA,"Bra020586,Bra020587","Bra020403","Bra015564","Bra021967",NA,"Bra023312",NA
"206",NA,NA,NA,"Bra020653","Bra020430","Bra015572","Bra021971",NA,"Bra023430",NA
"207",NA,NA,NA,"Bra020724","Bra020666","Bra015654","Bra022245",NA,"Bra023511",NA
"208",NA,NA,NA,"Bra020904","Bra020748","Bra015781","Bra022288",NA,"Bra023634",NA
"209",NA,NA,NA,"Bra021037","Bra020971","Bra015976,Bra015977","Bra022471",NA,"Bra024312",NA
"210",NA,NA,NA,"Bra021044,Bra021076,Bra021077","Bra021121","Bra016195","Bra022610",NA,"Bra024688",NA
"211",NA,NA,NA,"Bra021293","Bra021419,Bra021420","Bra016264","Bra022697",NA,"Bra024701",NA
"212",NA,NA,NA,"Bra021384","Bra021658,Bra021659,Bra021660","Bra016284","Bra022802,Bra022803",NA,"Bra024794",NA
"213",NA,NA,NA,"Bra021529,Bra021530","Bra021810,Bra021811,Bra021812","Bra016402","Bra022880",NA,"Bra025459",NA
"214",NA,NA,NA,"Bra021847","Bra022148","Bra016478","Bra023006",NA,"Bra026290",NA
"215",NA,NA,NA,"Bra021898,Bra021899","Bra022195","Bra016548,Bra016549","Bra023033",NA,"Bra026380",NA
"216",NA,NA,NA,"Bra021983","Bra022247,Bra022248","Bra016572,Bra016573","Bra023084",NA,"Bra026477",NA
"217",NA,NA,NA,"Bra021990","Bra022597","Bra016641","Bra023242",NA,"Bra026790",NA
"218",NA,NA,NA,"Bra022147","Bra022867","Bra016683","Bra023252",NA,"Bra026917",NA
"219",NA,NA,NA,"Bra022325","Bra022884","Bra016776","Bra023390",NA,"Bra027110,Bra027111",NA
"220",NA,NA,NA,"Bra022448","Bra022908","Bra017133","Bra023441",NA,"Bra027278",NA
