"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"36","(5.33,10]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","(20.7,29.6]","[0.706,0.764]","1","1","1","1","1","1","1","0","1","1"
"61","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","-1","-1","-1","-1","-1","-1","-1","0"
"62","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(1.27,2.29]","(20.7,29.6]","[0.706,0.764]","0","-1","-1","0","-1","-1","-1","-1","0","0"
"63","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","0","-1","0","0","-1","-1","-1","0","0","1"
"64","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","0","-1","0","0","-1","-1","-1","0","0","1"
"65","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","0","0","0","-1","-1","0","1","1"
"66","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(11.9,20.7]","[0.706,0.764]","0","-1","0","1","0","-1","-1","0","1","1"
"67","(10,14.7]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","-1","0","1","0","-1","-1","0","1","1"
"68","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","0","1","1","0","0","-1","1","1","1"
"69","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(1.27,2.29]","(20.7,29.6]","[0.706,0.764]","1","0","1","1","0","0","0","1","1","1"
"70","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","0","1","1","1","0","0","1","1","1"
"71","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","0","1","1","1","0","0","1","1","1"
"72","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","1","1","1","1","1","1","1","1"
"49","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","0","-1","-1","-1","-1","-1","-1","-1","0","-1"
"50","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","0","-1","0","0","-1","-1","-1","-1","0","0"
"51","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","-1","0","0","-1","-1","-1","-1","0","0"
"52","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","0","-1","0","1","-1","-1","-1","-1","1","0"
