"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra021026",30.7186,26.0071,59.5838,41.1312,43.7006,34.5553,41.4168,36.1306,23.8405,21.8411,19.9203,16.1401,29.4375,26.8687,58.8197,48.6618,56.5977,38.9288,39.5665,39.0818,30.0612,28.5964,23.1122,20.6158,31.2529,20.5944,57.2093,43.13,46.2684,46.4665,44.1312,37.1638,35.1775,29.819,21.3169,22.3306,29.6266,21.9439,48.4945,43.3709,52.3846,46.3923,42.8774,38.9355,28.129,23.9832,26.7398,22.3819
"Bra021027",1.94643,2.50905,18.7297,24.1248,7.2527,7.5471,2.6122,2.64148,3.50671,3.07565,3.02471,3.26406,1.32787,2.32706,13.981,14.4676,7.13237,9.8614,3.76711,2.76132,2.54506,3.54036,2.7348,2.89485,1.09328,1.11027,14.8459,22.1828,9.98687,11.395,2.73616,1.76133,3.29652,5.27244,2.32942,3.48543,1.87283,1.72553,18.6978,17.2817,8.60575,8.16705,3.77761,2.36821,2.21877,2.24771,2.09931,1.62435
"Bra021029",2.59096,1.6402,6.24182,6.69373,5.59242,7.62247,6.31831,5.32485,9.09257,8.13986,5.62922,6.56033,1.68974,2.32593,5.40695,5.87741,6.99221,9.25093,6.6797,4.00558,6.08476,6.47251,5.25014,3.4769,2.63479,3.72086,6.16486,5.0723,6.98106,7.26277,5.7593,2.73319,7.14264,5.80888,3.76197,3.25034,1.83777,2.14063,5.63741,6.27426,6.61783,5.66018,5.53729,3.79595,7.24505,8.01196,2.26898,2.95704
"Bra021037",47.6526,35.2659,72.0044,39.5321,37.5426,37.8348,53.2351,29.163,26.0809,25.9747,30.0525,19.929,51.8724,34.487,192.472,214.885,202.337,134.253,110.883,91.7202,33.8137,37.0189,24.0006,18.2462,97.7534,75.5521,111.206,101.385,107.649,46.3843,57.0075,49.71,50.0196,44.4477,47.8879,28.0615,116.74,57.1071,134.456,54.5481,96.7075,41.2316,56.7823,77.677,57.8609,44.5379,43.6918,41.5708
"Bra021041",281.197,252.081,233.748,212.555,265.842,249.727,236.695,230.086,262.43,242.248,246.114,225.588,190.535,191.52,167.157,136.002,174.85,158.587,153.837,154.188,254.972,233.005,243.425,217.348,323.03,298.853,229.733,309.526,248.948,274.701,245.11,295.577,284.651,309.961,300.032,320.116,244.639,291.846,246.493,231.183,225.856,254.037,178.549,193.078,257.224,260.232,251.268,296.201
"Bra021043",6.56408,5.36637,4.00259,2.54704,1.90945,2.77083,2.04285,3.33653,1.46276,1.77455,2.55374,2.65443,6.76961,7.09504,4.66427,4.7023,3.33506,2.90584,3.83812,3.73785,1.93617,1.51088,3.24775,3.86522,5.75253,5.04473,4.75292,2.66352,2.76929,2.01348,2.73247,2.39488,1.73861,1.1087,1.91139,2.39374,4.61379,4.58298,3.30552,3.81892,2.80025,2.24986,3.60825,2.82641,1.48381,1.67371,2.93421,2.57314
"Bra021044,Bra021076,Bra021077",48.5224,56.6734,80.7398,79.7516,85.0879,103.414,75.1856,92.5501,62.0123,69.1657,34.3594,47.7983,51.9321,61.4997,88.8091,86.0381,82.476,92.7811,63.9799,79.6327,53.751,58.4089,37.6728,48.2167,56.0883,62.1156,67.2341,80.0144,79.2156,111.066,71.8435,82.2411,57.6963,67.8209,39.7126,45.9712,41.1549,53.4363,82.562,71.5197,78.7436,92.4159,59.9494,67.2362,58.3892,71.0241,50.4801,57.6544
"Bra021051",21.4647,26.9571,63.0835,62.355,56.3238,67.3732,45.1539,64.9539,38.0243,41.3193,19.5734,20.9486,21.4494,27.4756,58.7762,54.3251,65.9575,60.8152,38.6678,63.7627,41.5362,47.6839,19.7263,21.4831,28.3212,27.4176,66.3724,70.7001,73.6615,111.972,56.9862,81.4775,44.0825,57.2593,19.5364,25.123,16.6828,25.562,54.49,61.647,70.5146,95.6577,53.4632,67.0187,39.7625,53.8519,22.3509,35.9738
"Bra021053",0.618512,1.96727,2.38955,1.83015,3.58407,3.29483,0.904515,2.53233,3.71478,2.84184,1.85417,2.10247,1.4662,1.30874,0.854427,1.14815,4.57515,4.58417,1.514,2.40676,2.40369,1.81588,2.11077,1.74085,2.18946,1.2014,1.47205,2.01811,5.51938,4.10164,1.75165,1.79818,2.81875,1.2101,0.838147,0.620426,1.51391,1.04562,0.672851,1.47293,5.15083,7.01854,1.08188,1.78292,2.92474,1.42123,1.66659,0.629611
"Bra021054",0.221274,0.083859,0.844814,0.258661,0.0667034,0.0468059,0.360448,0.223355,0,0.0354306,0.22595,0.0425767,0.206122,0.0839735,0.169724,0.398054,0.280518,0.148348,0.527179,0.225201,0.0353637,0.0680411,0.316895,0.19806,0.115804,0.376278,0.181379,0.151856,0.126664,0,0.352851,0.156497,0.258968,0.243905,0.314075,0.191492,0.159367,0.0465474,0.166061,0,0.206521,0.305454,0.188164,0.37062,0.13458,0,0.251465,0.454923
"Bra021056",5.25334,5.95141,5.82657,5.06682,5.6855,5.86123,4.76407,4.45418,7.64373,6.00126,6.2814,5.55002,5.94531,6.42589,6.74767,5.4656,5.94787,5.25505,6.92709,6.37979,6.61693,5.98763,7.36485,8.40864,5.21868,6.46576,5.78833,5.47637,5.30178,4.62527,4.97328,5.85951,6.67844,5.29836,6.63966,7.14194,6.16935,5.9682,4.99048,5.6016,6.87832,6.59,7.02725,6.48951,6.12877,6.34407,7.0185,7.11801
"Bra021061,Bra021062",17.5268,12.7253,3.98032,3.98793,3.98709,4.28317,5.18855,5.70313,7.62753,6.78229,7.88201,8.50614,13.1311,12.634,2.22615,2.68831,4.62034,5.52357,6.4472,7.14112,6.93706,6.81823,8.77675,6.71309,10.3091,12.0315,2.82673,1.95819,4.40124,4.21578,6.0538,5.07567,7.56768,6.57395,6.60816,6.0405,11.6906,10.1706,2.77267,2.62866,5.07509,4.20333,5.99705,4.65569,5.08363,5.77335,7.26057,5.38196
