"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra022938",16.5657,18.3989,15.3859,13.5237,13.7997,11.8975,11.8603,15.1373,22.1127,21.335,14.2707,18.6871,17.1782,15.4228,18.9384,16.3029,13.2757,14.35,13.2432,13.9094,16.8265,17.4597,15.6376,18.5615,13.4889,14.0799,14.1036,16.3122,13.1419,16.2812,11.6518,12.5578,15.4273,12.26,16.7378,12.1508,14.0404,10.6279,16.4254,13.1008,14.5906,13.451,11.3328,12.6785,15.507,15.7525,11.7949,11.5054
"Bra022979",8.18579,8.50029,6.51348,3.37005,2.70009,5.30738,4.95763,3.9612,5.69389,5.96553,7.85797,7.35914,5.45987,4.95847,2.88166,3.91302,2.88285,3.35345,3.49672,2.99505,5.34404,5.61447,5.3097,5.83759,7.6817,9.39727,5.92008,5.68318,7.58489,4.61376,6.15244,8.8691,7.21427,7.74007,9.02419,8.14231,7.06661,7.87179,4.42436,4.26907,3.6532,4.31365,4.53344,3.57042,5.51558,7.40513,7.0393,11.6598
"Bra023023",18.1914,20.5507,22.0674,30.3909,25.8488,34.0022,15.0394,22.869,30.1788,35.2718,24.4755,31.5941,17.952,26.3393,17.2617,25.4636,23.5339,36.105,15.3234,20.5493,21.5379,30.4607,29.1734,30.9603,13.2207,18.6382,16.4676,21.1404,18.7925,24.0672,16.9725,21.9638,19.2175,32.2399,29.4937,34.4998,16.6837,19.4875,16.9649,18.8007,21.8011,22.2023,13.4745,19.1573,21.7536,31.7236,26.7048,24.5855
"Bra023035",8.99709,9.99166,13.1289,12.1518,7.79612,5.79535,9.22571,9.31295,6.78517,5.9059,5.14616,4.19985,7.13671,6.63225,14.3342,16.2899,8.016,9.48126,12.6122,11.8222,8.87021,6.00508,6.35916,8.64542,5.9189,7.93331,13.2351,12.8984,6.64394,5.42867,7.66777,9.40157,5.6204,4.93629,5.40769,4.44966,8.96918,6.06106,15.0428,15.2572,7.19074,5.83355,8.71786,8.71804,8.4528,4.74134,4.57405,4.72376
"Bra023056,tRNA-Tyr",22.0289,20.0558,17.052,18.8922,22.0174,17.1953,22.6326,23.8055,25.2971,24.1196,20.8259,19.1631,15.2576,17.0738,13.9537,15.7365,18.8231,17.2025,20.9215,18.6512,26.7177,21.7977,28.8828,20.7631,24.505,21.4623,23.8422,25.7433,20.4365,19.1187,23.7413,23.2254,33.2192,27.9632,24.9428,21.2981,20.3469,20.754,20.6542,20.1504,17.6556,19.267,21.5857,18.7105,26.6128,22.5213,28.5423,23.8351
"Bra023072",72.0762,69.4319,102.773,94.3241,96.9994,89.4959,117.661,124.167,83.899,87.39,59.9354,61.6285,58.5707,62.8056,99.1095,101.196,127.002,113.525,131.541,136.311,112.045,111.743,87.9526,96.5753,100.347,107.157,116.026,129.653,107.351,106.709,121.787,124.455,108.26,102.494,86.5195,96.8611,86.5328,79.8854,98.6844,99.725,128.56,118.54,120.154,133.237,110.031,113,120.5,124.999
"Bra023093",0,0,0.558033,0,0,0,0,0.438743,2.89726,1.48091,0.499991,1.17979,0,0,0,0,0,0,0,0,3.79766,6.17344,1.18785,1.27505,2.32542,0.64663,1.20093,3.16493,2.07828,0,0,0,0.937787,5.41635,0.92132,2.64815,0,0,1.15812,0,0.495988,0.475284,0.871362,0,1.36982,2.57088,2.01128,1.32188
"Bra023101",1.62875,1.83093,1.32353,1.59619,1.38592,1.1067,1.32046,0.968153,1.66137,2.47607,2.03097,2.33548,2.62737,2.09768,0.971869,1.50805,1.25112,1.30336,1.7631,1.73757,1.32454,1.44818,1.64406,2.52929,1.15286,0.81126,0.742966,0.608858,0.658929,1.14048,1.01059,0.603559,1.44014,1.11864,1.87336,2.04278,1.96314,0.890599,0.478714,1.15863,2.02694,0.933018,1.0506,1.05711,1.87853,0.775467,2.87715,1.92627
"Bra023115",2.00411,2.50076,4.85973,3.55356,1.4855,2.61494,1.75964,2.59428,0.10727,0.598404,0.330705,0.547845,0.498076,1.5518,2.3895,2.97324,1.05252,1.92193,0.748964,0.574064,0.301151,0.324857,0.648449,0.582388,1.30842,5.12351,5.33977,5.26908,2.1461,3.03927,1.83379,3.01439,0.830469,1.44646,0.9483,0.650707,1.83945,1.62554,4.10031,3.06281,1.53946,2.11655,0.692948,1.45401,0.212689,0.587153,0.83565,1.25489
"Bra023164",63.866,64.3371,50.8998,52.1346,41.3807,43.6453,41.9611,48.7632,49.1137,49.4532,52.6968,46.544,38.0845,50.576,37.8433,30.2655,28.1461,28.5733,38.5343,36.2187,54.4953,51.6054,58.2372,57.2161,47.376,80.391,61.8249,60.8814,41.1505,55.5946,49.2717,69.7254,64.4882,55.252,61.8659,65.0934,63.5246,73.2288,51.3359,35.8261,40.8785,50.6552,46.5485,42.9029,49.8285,63.6402,52.2717,80.7985
