"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"21","Bra032589","Bra010855",NA,NA,"Bra003482","Bra022923","Bra020036","Bra001573","Bra009809","Bra039144","Bra018002","Bra003142",NA,"Bra008127",NA,NA,NA,"Bra001045",NA,NA,"Bra012637",NA,"Bra024163","Bra009896","Bra016046",NA,NA,NA,NA,"Bra010616","Bra016809","Bra025276",NA,"Bra023712","Bra016330",NA,"Bra020185",NA,NA,NA,NA,"Bra014766",NA,NA,"Bra029783"
"22","Bra004809","Bra017698",NA,NA,"Bra031802","Bra018695","Bra001645","Bra020883","Bra015564","Bra005677","Bra038089","Bra028844",NA,"Bra036834",NA,NA,NA,"Bra023365",NA,NA,"Bra008212,Bra008213",NA,"Bra039109","Bra032954,Bra032955","Bra010216",NA,NA,NA,NA,"Bra014656","Bra028559","Bra000808",NA,"Bra033672","Bra010270",NA,"Bra039678",NA,NA,NA,NA,"Bra033564,Bra033565",NA,NA,"Bra024615"
"23","Bra008749","Bra028011",NA,NA,"Bra037991","Bra026017,Bra026018","Bra015341","Bra036254","Bra011749","Bra019253,Bra019254","Bra024890","Bra041145",NA,"Bra016117",NA,NA,NA,"Bra037045",NA,NA,"Bra031745",NA,"Bra032199","Bra036721,Bra036722","Bra026351",NA,NA,NA,NA,"Bra026155","Bra009596","Bra008847",NA,"Bra000700","Bra035169,Bra035170",NA,"Bra038233",NA,NA,NA,NA,"Bra014340",NA,NA,"Bra011134"
"24","Bra034231","Bra009745",NA,NA,"Bra023597,Bra023599","Bra027792,Bra027793","Bra015668","Bra031740,Bra031741","Bra012865","Bra021529,Bra021530","Bra006454","Bra011777",NA,"Bra028520",NA,NA,NA,"Bra001196",NA,NA,"Bra001250",NA,"Bra039284","Bra017986","Bra014343",NA,NA,NA,NA,"Bra013053","Bra002181","Bra000883",NA,"Bra014351","Bra022060",NA,"Bra004397",NA,NA,NA,NA,"Bra017454",NA,NA,"Bra006660"
"25","Bra018090,Bra018091","Bra033526",NA,NA,"Bra029108","Bra020949","Bra009433","Bra031705","Bra038091,Bra038092","Bra012337","Bra004225","Bra035686",NA,"Bra029438",NA,NA,NA,"Bra010337",NA,NA,"Bra040776",NA,"Bra000749","Bra021650","Bra015715",NA,NA,NA,NA,"Bra040630","Bra030488","Bra040118",NA,"Bra037655","Bra008657",NA,"Bra022593",NA,NA,NA,NA,"Bra038621,Bra038622",NA,NA,"Bra012899"
"26","Bra035161","Bra003024",NA,NA,"Bra026969","Bra012364","Bra023418","Bra014467","Bra006813","Bra002038","Bra005603","Bra018859",NA,"Bra010416",NA,NA,NA,"Bra026770",NA,NA,"Bra021661",NA,"Bra012984,Bra012985","Bra002140","Bra016557",NA,NA,NA,NA,"Bra014696","Bra005498","Bra000122",NA,"Bra020137,Bra020138","Bra038644",NA,"Bra012203",NA,NA,NA,NA,"Bra036495",NA,NA,"Bra000240"
"27","Bra032166","Bra002265,Bra002266",NA,NA,"Bra015349","Bra027695","Bra032807,Bra032808","Bra033670","Bra001992","Bra002470","Bra025816","Bra037316",NA,"Bra013993",NA,NA,NA,"Bra027124",NA,NA,"Bra039713,Bra039714",NA,"Bra033709","Bra001745","Bra000885",NA,NA,NA,NA,"Bra017427,Bra017428","Bra035382","Bra011541",NA,"Bra001177",NA,NA,"Bra006351,Bra006352",NA,NA,NA,NA,"Bra027421,Bra027422",NA,NA,"Bra011047"
"28","Bra025469","Bra033053,Bra033054",NA,NA,"Bra007682","Bra004066","Bra004460","Bra030447,Bra030448","Bra003570","Bra014855","Bra007239","Bra027207",NA,"Bra021455",NA,NA,NA,"Bra000328",NA,NA,"Bra000550",NA,"Bra001802","Bra010956,Bra010957","Bra033973",NA,NA,NA,NA,"Bra006067","Bra035348","Bra005031",NA,"Bra001848",NA,NA,"Bra033757",NA,NA,NA,NA,"Bra014264",NA,NA,"Bra012083"
"29","Bra031115","Bra028702",NA,NA,"Bra038161","Bra004267","Bra003835","Bra028579","Bra014626","Bra026143","Bra020062","Bra032640",NA,"Bra009659",NA,NA,NA,"Bra026366",NA,NA,"Bra032409",NA,"Bra005014","Bra010171","Bra037411",NA,NA,NA,NA,"Bra021929","Bra009298","Bra033565,Bra033566",NA,"Bra007047",NA,NA,"Bra000384",NA,NA,NA,NA,"Bra008975",NA,NA,"Bra003655"
"30","Bra028655","Bra000880",NA,NA,"Bra000472",NA,"Bra030732","Bra000440","Bra032313","Bra016419","Bra039321","Bra013176",NA,"Bra036942",NA,NA,NA,"Bra030842",NA,NA,"Bra020838",NA,"Bra005365","Bra027828","Bra036730",NA,NA,NA,NA,"Bra029362,Bra029363","Bra028940","Bra040347",NA,NA,NA,NA,"Bra008876",NA,NA,NA,NA,"Bra019853",NA,NA,"Bra028405"
"31","Bra037292","Bra005213",NA,NA,"Bra020884",NA,"Bra006248","Bra000773","Bra038289","Bra004928","Bra004924","Bra034460",NA,"Bra037478",NA,NA,NA,"Bra026629,Bra026630",NA,NA,"Bra014057",NA,"Bra000931","Bra023035","Bra024893,Bra024894",NA,NA,NA,NA,"Bra032053,Bra032054","Bra010771",NA,NA,NA,NA,NA,"Bra027294",NA,NA,NA,NA,"Bra039472",NA,NA,"Bra025223"
"32","Bra007978","Bra018284",NA,NA,"Bra005077",NA,"Bra001587","Bra001536","Bra014446","Bra008497","Bra018306","Bra027343",NA,"Bra036463",NA,NA,NA,"Bra029978",NA,NA,"Bra016752",NA,"Bra038415","Bra016081","Bra010983",NA,NA,NA,NA,"Bra039120","Bra028334",NA,NA,NA,NA,NA,"Bra037164",NA,NA,NA,NA,"Bra015397",NA,NA,"Bra000915"
"33","Bra023736","Bra000977",NA,NA,"Bra038489",NA,"Bra010484","Bra010339","Bra012588",NA,"Bra034815","Bra031879",NA,"Bra025488",NA,NA,NA,"Bra032191",NA,NA,"Bra029253",NA,"Bra004528","Bra001368","Bra007520",NA,NA,NA,NA,"Bra011775","Bra012146",NA,NA,NA,NA,NA,"Bra009909",NA,NA,NA,NA,"Bra001618",NA,NA,"Bra013859"
"34","Bra024941","Bra026875,Bra026876",NA,NA,"Bra019539",NA,"Bra010749","Bra030570","Bra026621",NA,"Bra020393","Bra034306",NA,"Bra013828",NA,NA,NA,"Bra000207",NA,NA,"Bra016870",NA,"Bra006875","Bra035511","Bra016305",NA,NA,NA,NA,"Bra023093","Bra034775",NA,NA,NA,NA,NA,"Bra038541",NA,NA,NA,NA,"Bra025335,Bra025336",NA,NA,"Bra024964"
"35","Bra035536","Bra027527,Bra027528",NA,NA,"Bra029228,Bra029229",NA,"Bra011565","Bra019384","Bra026116",NA,"Bra012244","Bra031923",NA,"Bra028999",NA,NA,NA,"Bra003344",NA,NA,"Bra028191",NA,"Bra027640","Bra023115","Bra024662",NA,NA,NA,NA,"Bra011180","Bra013747",NA,NA,NA,NA,NA,"Bra014044",NA,NA,NA,NA,"Bra003549",NA,NA,"Bra005718,Bra005767"
"36","Bra025105","Bra039184",NA,NA,"Bra025865",NA,"Bra038815","Bra033489","Bra039052",NA,"Bra017723","Bra032795",NA,"Bra033082",NA,NA,NA,"Bra023706,Bra023707",NA,NA,"Bra038656",NA,"Bra040416","Bra033415","Bra002980",NA,NA,NA,NA,"Bra031771","Bra010079",NA,NA,NA,NA,NA,"Bra038426,Bra038427",NA,NA,NA,NA,"Bra035490",NA,NA,"Bra023164"
"37","Bra030622","Bra034281",NA,NA,"Bra031874",NA,"Bra024138,Bra024139","Bra001983","Bra031478",NA,NA,"Bra011146",NA,"Bra015843",NA,NA,NA,"Bra013824",NA,NA,"Bra004782",NA,"Bra010303","Bra007063","Bra017912",NA,NA,NA,NA,NA,"Bra030877",NA,NA,NA,NA,NA,"Bra030319",NA,NA,NA,NA,"Bra024957,Bra024958,Bra024959",NA,NA,"Bra010476"
"38","Bra000662","Bra019433",NA,NA,"Bra021198,Bra021199",NA,"Bra000863","Bra016375,Bra016376","Bra003948",NA,NA,"Bra012999",NA,"Bra016205",NA,NA,NA,"Bra029295",NA,NA,"Bra009336",NA,"Bra004589","Bra019486",NA,NA,NA,NA,NA,NA,"Bra023780",NA,NA,NA,NA,NA,"Bra031532,Bra031533,Bra032413,tRNA-Ala",NA,NA,NA,NA,"Bra003841",NA,NA,"Bra036904"
